,Student_ID,Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
0,1,19,1,1,5.2,Instagram,1,6.5,6,In Relationship,3,8
1,2,22,0,2,2.1,Twitter,0,7.5,8,Single,0,3
2,3,20,1,1,6.0,TikTok,1,5.0,5,Complicated,4,9
3,4,18,0,0,3.0,YouTube,0,7.0,7,Single,1,4
4,5,21,0,2,4.5,Facebook,1,6.0,6,In Relationship,2,7
5,6,19,1,1,7.2,Instagram,1,4.5,4,Complicated,5,9
6,7,23,0,2,1.5,LinkedIn,0,8.0,9,Single,0,2
7,8,20,1,1,5.8,Snapchat,1,6.0,6,In Relationship,2,8
8,9,18,0,0,4.0,TikTok,0,6.5,7,Single,1,5
9,10,21,1,2,3.3,Instagram,0,7.0,7,In Relationship,1,4
10,11,19,0,1,4.8,Snapchat,1,6.2,5,Complicated,3,7
11,12,20,1,1,5.5,TikTok,1,5.8,6,In Relationship,2,8
12,13,22,0,2,2.8,LinkedIn,0,7.2,8,Single,1,4
13,14,18,1,0,6.5,Instagram,1,5.5,5,Single,4,9
14,15,21,0,1,3.7,YouTube,0,6.8,7,In Relationship,2,5
15,16,20,1,1,4.2,TikTok,1,6.0,6,Complicated,3,7
16,17,24,0,2,2.0,LinkedIn,0,7.8,8,Single,0,3
17,18,19,1,0,5.0,Instagram,1,5.7,5,In Relationship,3,8
18,19,21,0,1,3.5,Facebook,0,6.7,7,Single,1,5
19,20,20,1,1,4.7,Snapchat,1,5.9,6,Complicated,3,7
20,21,18,0,0,5.3,TikTok,1,5.5,5,Single,4,8
21,22,23,1,2,2.5,LinkedIn,0,7.3,8,In Relationship,1,4
22,23,19,0,1,4.9,Instagram,1,5.8,6,Complicated,3,7
23,24,20,1,1,5.7,TikTok,1,5.4,5,Single,4,8
24,25,22,0,2,3.2,Facebook,0,6.9,7,In Relationship,2,5
25,26,19,1,0,6.1,Instagram,1,5.2,5,Complicated,4,9
26,27,21,0,1,3.8,YouTube,0,6.6,7,Single,1,5
27,28,20,1,1,4.4,TikTok,1,5.9,6,In Relationship,3,7
28,29,24,0,2,2.2,LinkedIn,0,7.4,8,Single,0,3
29,30,19,1,0,5.9,Instagram,1,5.3,5,Complicated,4,8
30,31,21,0,1,3.6,Facebook,0,6.7,7,Single,1,5
31,32,20,1,1,4.8,Snapchat,1,5.7,6,In Relationship,3,7
32,33,18,0,0,5.4,TikTok,1,5.4,5,Complicated,4,8
33,34,23,1,2,2.6,LinkedIn,0,7.2,8,Single,1,4
34,35,19,0,1,4.7,Instagram,1,5.8,6,In Relationship,3,7
35,36,20,1,1,5.6,TikTok,1,5.5,5,Complicated,4,8
36,37,22,0,2,3.1,Facebook,0,6.8,7,Single,1,5
37,38,19,1,0,6.2,Instagram,1,5.1,5,In Relationship,4,9
38,39,21,0,1,3.9,YouTube,0,6.5,7,Complicated,2,6
39,40,20,1,1,4.5,TikTok,1,5.8,6,Single,3,7
40,41,24,0,2,2.3,LinkedIn,0,7.3,8,In Relationship,1,4
41,42,19,1,0,5.8,Instagram,1,5.4,5,Complicated,4,8
42,43,21,0,1,3.7,Facebook,0,6.6,7,Single,2,5
43,44,20,1,1,4.6,Snapchat,1,5.7,6,In Relationship,3,7
44,45,18,0,0,5.5,TikTok,1,5.3,5,Single,4,8
45,46,23,1,2,2.7,LinkedIn,0,7.1,8,Complicated,1,4
46,47,19,0,1,4.8,Instagram,1,5.9,6,In Relationship,3,7
47,48,20,1,1,5.5,TikTok,1,5.6,5,Single,4,8
48,49,22,0,2,3.3,Facebook,0,6.7,7,In Relationship,2,5
49,50,19,1,0,6.3,Instagram,1,5.2,5,Complicated,4,9
50,51,21,0,1,3.8,YouTube,0,6.4,7,Single,2,6
51,52,20,1,1,4.7,TikTok,1,5.8,6,In Relationship,3,7
52,53,24,0,2,2.4,LinkedIn,0,7.2,8,Complicated,1,4
53,54,19,1,0,5.7,Instagram,1,5.5,5,Single,4,8
54,55,21,0,1,3.6,Facebook,0,6.5,7,In Relationship,2,5
55,56,20,1,1,4.9,Snapchat,1,5.6,6,Complicated,3,7
56,57,18,0,0,5.6,TikTok,1,5.2,5,Single,4,8
57,58,23,1,2,2.8,LinkedIn,0,7.0,8,In Relationship,1,4
58,59,19,0,1,4.6,Instagram,1,5.9,6,Complicated,3,7
59,60,20,1,1,5.4,TikTok,1,5.7,5,Single,4,8
60,61,22,0,2,3.1,Facebook,0,7.1,7,Single,1,5
61,62,19,1,1,5.6,Instagram,1,5.6,5,In Relationship,3,8
62,63,20,0,1,4.2,TikTok,1,6.0,6,Complicated,3,7
63,64,18,1,0,6.1,Snapchat,1,5.2,4,Single,4,9
64,65,23,0,2,2.3,LinkedIn,0,7.4,8,In Relationship,1,3
65,66,21,1,1,4.8,Instagram,1,5.8,6,Single,3,7
66,67,20,0,1,3.9,YouTube,0,6.5,7,Complicated,2,6
67,68,19,1,0,5.7,TikTok,1,5.4,5,In Relationship,4,8
68,69,22,0,2,2.8,LinkedIn,0,7.2,8,Single,1,4
69,70,20,1,1,4.5,Instagram,1,5.9,6,Complicated,3,7
70,71,18,0,0,5.4,Snapchat,1,5.5,5,Single,4,8
71,72,21,1,2,3.2,Facebook,0,6.8,7,In Relationship,2,5
72,73,19,0,1,4.9,TikTok,1,5.7,6,Complicated,3,7
73,74,20,1,1,5.8,Instagram,1,5.3,5,Single,4,8
74,75,23,0,2,2.5,LinkedIn,0,7.3,8,In Relationship,1,4
75,76,21,1,1,4.6,Snapchat,1,5.8,6,Single,3,7
76,77,19,0,0,5.5,TikTok,1,5.4,5,Complicated,4,8
77,78,22,1,2,2.9,Facebook,0,7.0,7,In Relationship,2,5
78,79,20,0,1,4.7,YouTube,1,5.9,6,Single,3,7
79,80,18,1,0,5.9,Instagram,1,5.2,5,Complicated,4,9
80,81,21,0,2,3.0,LinkedIn,0,7.1,8,In Relationship,1,4
81,82,19,1,1,4.8,TikTok,1,5.7,6,Single,3,7
82,83,20,0,1,3.8,Facebook,0,6.6,7,Complicated,2,6
83,84,22,1,2,2.7,LinkedIn,0,7.2,8,In Relationship,1,4
84,85,18,0,0,5.6,Snapchat,1,5.3,5,Single,4,8
85,86,21,1,1,4.5,Instagram,1,5.8,6,Complicated,3,7
86,87,19,0,0,5.3,TikTok,1,5.5,5,In Relationship,4,8
87,88,23,1,2,2.6,LinkedIn,0,7.3,8,Single,1,4
88,89,20,0,1,4.4,YouTube,1,6.0,6,Complicated,3,7
89,90,18,1,0,5.8,Instagram,1,5.2,5,Single,4,9
90,91,22,0,2,2.9,Facebook,0,7.0,7,In Relationship,2,5
91,92,19,1,1,4.7,TikTok,1,5.8,6,Complicated,3,7
92,93,21,0,1,3.7,Snapchat,0,6.5,7,Single,2,6
93,94,20,1,0,5.5,Instagram,1,5.4,5,In Relationship,4,8
94,95,23,0,2,2.4,LinkedIn,0,7.4,8,Complicated,1,4
95,96,19,1,1,4.9,TikTok,1,5.7,6,Single,3,7
96,97,18,0,0,5.7,Snapchat,1,5.3,5,In Relationship,4,8
97,98,22,1,2,2.8,LinkedIn,0,7.1,8,Complicated,1,4
98,99,20,0,1,4.6,Instagram,1,5.9,6,Single,3,7
99,100,21,1,1,5.4,TikTok,1,5.5,5,In Relationship,4,8
100,101,19,0,0,5.8,YouTube,1,5.2,5,Complicated,4,9
101,102,23,1,2,2.5,LinkedIn,0,7.3,8,Single,1,4
102,103,20,0,1,4.7,Facebook,1,5.8,6,In Relationship,3,7
103,104,18,1,0,5.6,Instagram,1,5.4,5,Single,4,8
104,105,22,0,2,2.9,LinkedIn,0,7.0,7,Complicated,2,5
105,106,19,1,1,4.8,TikTok,1,5.7,6,In Relationship,3,7
106,107,21,0,1,3.8,YouTube,0,6.6,7,Single,2,6
107,108,20,1,0,5.5,Snapchat,1,5.5,5,Complicated,4,8
108,109,23,0,2,2.6,LinkedIn,0,7.2,8,In Relationship,1,4
109,110,19,1,1,4.9,Instagram,1,5.8,6,Single,3,7
110,111,20,0,1,6.1,Instagram,1,6.2,5,Single,4,8
111,112,21,1,1,5.8,TikTok,1,5.9,6,In Relationship,3,7
112,113,19,0,1,4.9,Facebook,0,7.1,7,Single,2,5
113,114,22,1,2,5.5,Instagram,1,6.0,5,Single,4,8
114,115,20,0,1,5.2,TikTok,1,6.3,6,In Relationship,3,7
115,116,19,1,1,4.8,Instagram,0,7.2,8,Single,2,5
116,117,21,0,2,6.0,Facebook,1,5.8,5,In Relationship,4,8
117,118,20,1,1,5.7,Instagram,1,6.1,6,Single,3,7
118,119,22,0,2,4.7,TikTok,0,7.3,7,Single,2,5
119,120,19,1,1,5.4,Instagram,1,6.2,5,In Relationship,4,8
120,121,20,0,1,5.9,Facebook,1,5.9,6,Single,3,7
121,122,21,1,2,4.6,Instagram,0,7.4,8,In Relationship,2,5
122,123,19,0,1,5.3,TikTok,1,6.3,5,Single,4,8
123,124,22,1,2,5.8,Instagram,1,5.8,6,In Relationship,3,7
124,125,20,0,1,4.5,Facebook,0,7.5,7,Single,2,5
125,126,21,1,2,5.2,Instagram,1,6.4,5,In Relationship,4,8
126,127,19,0,1,5.7,TikTok,1,5.7,6,Single,3,7
127,128,20,1,1,4.4,Instagram,0,7.6,8,In Relationship,2,5
128,129,22,0,2,5.1,Facebook,1,6.5,5,Single,4,8
129,130,21,1,2,5.6,Instagram,1,5.6,6,In Relationship,3,7
130,131,19,0,1,4.3,TikTok,0,7.7,7,Single,2,5
131,132,20,1,1,5.0,Instagram,1,6.6,5,In Relationship,4,8
132,133,22,0,2,5.5,Facebook,1,5.5,6,Single,3,7
133,134,21,1,2,4.2,Instagram,0,7.8,8,In Relationship,2,5
134,135,19,0,1,4.9,TikTok,1,6.7,5,Single,4,8
135,136,20,1,1,5.4,Instagram,1,5.4,6,In Relationship,3,7
136,137,22,0,2,4.1,Facebook,0,7.9,7,Single,2,5
137,138,21,1,2,4.8,Instagram,1,6.8,5,In Relationship,4,8
138,139,19,0,1,5.3,TikTok,1,5.3,6,Single,3,7
139,140,20,1,1,4.0,Instagram,0,8.0,8,In Relationship,2,5
140,141,22,0,2,4.7,Facebook,1,6.9,5,Single,4,8
141,142,21,1,2,5.2,Instagram,1,5.2,6,In Relationship,3,7
142,143,19,0,1,3.9,TikTok,0,8.1,7,Single,2,5
143,144,20,1,1,4.6,Instagram,1,7.0,5,In Relationship,4,8
144,145,22,0,2,5.1,Facebook,1,5.1,6,Single,3,7
145,146,21,1,2,3.8,Instagram,0,8.2,8,In Relationship,2,5
146,147,19,0,1,4.5,TikTok,1,7.1,5,Single,4,8
147,148,20,1,1,5.0,Instagram,1,5.0,6,In Relationship,3,7
148,149,22,0,2,3.7,Facebook,0,8.3,7,Single,2,5
149,150,21,1,2,4.4,Instagram,1,7.2,5,In Relationship,4,8
150,151,19,0,1,4.9,TikTok,1,4.9,6,Single,3,7
151,152,20,1,1,3.6,Instagram,0,8.4,8,In Relationship,2,5
152,153,22,0,2,4.3,Facebook,1,7.3,5,Single,4,8
153,154,21,1,2,4.8,Instagram,1,4.8,6,In Relationship,3,7
154,155,19,0,1,3.5,TikTok,0,8.5,7,Single,2,5
155,156,20,1,1,4.2,Instagram,1,7.4,5,In Relationship,4,8
156,157,22,0,2,4.7,Facebook,1,4.7,6,Single,3,7
157,158,21,1,2,3.4,Instagram,0,8.6,8,In Relationship,2,5
158,159,19,0,1,4.1,TikTok,1,7.5,5,Single,4,8
159,160,20,1,1,4.6,Instagram,1,4.6,6,In Relationship,3,7
160,161,19,1,1,5.3,Instagram,1,6.1,5,Single,3,7
161,162,21,0,2,4.8,Facebook,0,7.2,7,In Relationship,2,6
162,163,20,1,1,5.5,TikTok,1,5.9,6,Single,4,8
163,164,22,0,2,4.7,Instagram,1,6.3,5,In Relationship,3,7
164,165,19,1,1,5.1,Facebook,0,7.0,7,Single,2,5
165,166,21,0,2,5.4,TikTok,1,6.0,6,In Relationship,4,8
166,167,20,1,1,4.9,Instagram,1,6.4,5,Single,3,7
167,168,22,0,2,5.2,Facebook,0,7.1,7,In Relationship,2,6
168,169,19,1,1,5.6,TikTok,1,5.8,6,Single,4,8
169,170,21,0,2,4.6,Instagram,1,6.5,5,In Relationship,3,7
170,171,20,1,1,5.0,Facebook,0,7.3,7,Single,2,5
171,172,22,0,2,5.3,TikTok,1,5.7,6,In Relationship,4,8
172,173,19,1,1,4.8,Instagram,1,6.6,5,Single,3,7
173,174,21,0,2,5.1,Facebook,0,7.4,7,In Relationship,2,6
174,175,20,1,1,5.7,TikTok,1,5.6,6,Single,4,8
175,176,22,0,2,4.5,Instagram,1,6.7,5,In Relationship,3,7
176,177,19,1,1,4.9,Facebook,0,7.5,7,Single,2,5
177,178,21,0,2,5.2,TikTok,1,5.5,6,In Relationship,4,8
178,179,20,1,1,4.7,Instagram,1,6.8,5,Single,3,7
179,180,22,0,2,5.0,Facebook,0,7.6,7,In Relationship,2,6
180,181,19,1,1,5.8,TikTok,1,5.4,6,Single,4,8
181,182,21,0,2,4.4,Instagram,1,6.9,5,In Relationship,3,7
182,183,20,1,1,4.8,Facebook,0,7.7,7,Single,2,5
183,184,22,0,2,5.1,TikTok,1,5.3,6,In Relationship,4,8
184,185,19,1,1,4.6,Instagram,1,7.0,5,Single,3,7
185,186,21,0,2,4.9,Facebook,0,7.8,7,In Relationship,2,6
186,187,20,1,1,5.9,TikTok,1,5.2,6,Single,4,8
187,188,22,0,2,4.3,Instagram,1,7.1,5,In Relationship,3,7
188,189,19,1,1,4.7,Facebook,0,7.9,7,Single,2,5
189,190,21,0,2,5.0,TikTok,1,5.1,6,In Relationship,4,8
190,191,20,1,1,4.5,Instagram,1,7.2,5,Single,3,7
191,192,22,0,2,4.8,Facebook,0,8.0,7,In Relationship,2,6
192,193,19,1,1,6.0,TikTok,1,5.0,6,Single,4,8
193,194,21,0,2,4.2,Instagram,1,7.3,5,In Relationship,3,7
194,195,20,1,1,4.6,Facebook,0,8.1,7,Single,2,5
195,196,22,0,2,4.9,TikTok,1,4.9,6,In Relationship,4,8
196,197,19,1,1,4.4,Instagram,1,7.4,5,Single,3,7
197,198,21,0,2,4.7,Facebook,0,8.2,7,In Relationship,2,6
198,199,20,1,1,6.1,TikTok,1,4.8,6,Single,4,8
199,200,22,0,2,4.1,Instagram,1,7.5,5,In Relationship,3,7
200,201,19,1,1,4.5,Facebook,0,8.3,7,Single,2,5
201,202,21,0,2,4.8,TikTok,1,4.7,6,In Relationship,4,8
202,203,20,1,1,4.3,Instagram,1,7.6,5,Single,3,7
203,204,22,0,2,4.6,Facebook,0,8.4,7,In Relationship,2,6
204,205,19,1,1,6.2,TikTok,1,4.6,6,Single,4,8
205,206,21,0,2,4.0,Instagram,1,7.7,5,In Relationship,3,7
206,207,20,1,1,4.4,Facebook,0,8.5,7,Single,2,5
207,208,22,0,2,4.7,TikTok,1,4.5,6,In Relationship,4,8
208,209,19,1,1,4.2,Instagram,1,7.8,5,Single,3,7
209,210,21,0,2,4.5,Facebook,0,8.6,7,In Relationship,2,6
210,211,20,1,1,6.3,TikTok,1,4.4,6,Single,4,8
211,212,22,0,2,3.9,Instagram,1,7.9,5,In Relationship,3,7
212,213,19,1,1,4.3,Facebook,0,8.7,7,Single,2,5
213,214,21,0,2,4.6,TikTok,1,4.3,6,In Relationship,4,8
214,215,20,1,1,4.1,Instagram,1,8.0,5,Single,3,7
215,216,22,0,2,4.4,Facebook,0,8.8,7,In Relationship,2,6
216,217,19,1,1,6.4,TikTok,1,4.2,6,Single,4,8
217,218,21,0,2,3.8,Instagram,1,8.1,5,In Relationship,3,7
218,219,20,1,1,4.2,Facebook,0,8.9,7,Single,2,5
219,220,22,0,2,4.5,TikTok,1,4.1,6,In Relationship,4,8
220,221,19,1,1,6.5,Instagram,1,6.0,5,Single,4,9
221,222,21,0,2,5.8,TikTok,1,6.5,6,In Relationship,3,7
222,223,20,1,1,4.5,Instagram,0,7.5,8,Single,2,5
223,224,22,0,2,4.2,Facebook,0,7.8,7,In Relationship,2,4
224,225,19,1,1,3.8,LINE,0,7.9,8,Single,1,3
225,226,21,0,2,5.5,Instagram,1,6.8,6,Single,3,7
226,227,20,1,1,5.2,KakaoTalk,1,6.5,6,In Relationship,3,6
227,228,22,0,2,4.8,VKontakte,0,7.2,7,Single,2,5
228,229,19,1,1,7.0,TikTok,1,5.8,4,In Relationship,4,9
229,230,21,0,2,5.5,Instagram,1,6.7,6,Single,3,7
230,231,20,1,1,4.7,Facebook,0,7.4,7,In Relationship,2,5
231,232,22,0,2,4.0,Instagram,0,7.9,8,Single,1,4
232,233,19,1,1,3.5,LINE,0,8.0,8,Single,1,3
233,234,21,0,2,5.7,TikTok,1,6.5,5,In Relationship,3,8
234,235,20,1,1,5.0,KakaoTalk,1,6.8,6,Single,3,6
235,236,22,0,2,4.5,VKontakte,0,7.4,7,In Relationship,2,5
236,237,19,1,1,6.8,Instagram,1,5.9,4,Single,4,9
237,238,21,0,2,5.6,Facebook,1,6.6,6,In Relationship,3,7
238,239,20,1,1,4.6,Instagram,0,7.3,7,Single,2,5
239,240,22,0,2,4.1,Facebook,0,7.7,8,In Relationship,2,4
240,241,19,1,1,3.7,LINE,0,7.8,8,Single,1,3
241,242,21,0,2,5.4,Instagram,1,6.7,5,Single,3,7
242,243,20,1,1,5.1,KakaoTalk,1,6.6,6,In Relationship,3,6
243,244,22,0,2,4.7,VKontakte,0,7.3,7,Single,2,5
244,245,19,1,1,6.9,TikTok,1,5.7,4,In Relationship,4,9
245,246,21,0,2,5.7,Instagram,1,6.4,6,Single,3,7
246,247,20,1,1,4.8,Facebook,0,7.2,7,In Relationship,2,5
247,248,22,0,2,3.9,Instagram,0,7.8,8,Single,1,4
248,249,19,1,1,3.6,LINE,0,8.1,8,Single,1,3
249,250,21,0,2,5.6,TikTok,1,6.6,5,In Relationship,3,8
250,251,20,1,1,4.9,KakaoTalk,1,6.9,6,Single,3,6
251,252,22,0,2,4.6,VKontakte,0,7.5,7,In Relationship,2,5
252,253,19,1,1,6.7,Instagram,1,5.8,4,Single,4,9
253,254,21,0,2,5.4,Facebook,1,6.5,6,In Relationship,3,7
254,255,20,1,1,4.4,Instagram,0,7.4,7,Single,2,5
255,256,22,0,2,4.0,Facebook,0,7.6,8,In Relationship,2,4
256,257,19,1,1,3.4,LINE,0,8.2,8,Single,1,3
257,258,21,0,2,5.3,Instagram,1,6.8,5,Single,3,7
258,259,20,1,1,5.0,KakaoTalk,1,6.7,6,In Relationship,3,6
259,260,22,0,2,4.4,VKontakte,0,7.6,7,Single,2,5
260,261,19,1,1,6.6,TikTok,1,5.6,4,In Relationship,4,9
261,262,21,0,2,5.3,Instagram,1,6.3,6,Single,3,7
262,263,20,1,1,4.3,Facebook,0,7.5,7,In Relationship,2,5
263,264,22,0,2,3.8,Instagram,0,7.7,8,Single,1,4
264,265,19,1,1,3.3,LINE,0,8.3,8,Single,1,3
265,266,21,0,2,5.2,TikTok,1,6.9,5,In Relationship,3,8
266,267,20,1,1,4.8,KakaoTalk,1,7.0,6,Single,3,6
267,268,22,0,2,4.3,VKontakte,0,7.7,7,In Relationship,2,5
268,269,19,1,1,6.4,Instagram,1,5.7,4,Single,4,9
269,270,21,0,2,5.2,Facebook,1,6.4,6,In Relationship,3,7
270,271,20,1,1,4.5,Instagram,0,7.3,7,Single,2,5
271,272,22,0,2,3.7,Facebook,0,7.8,8,In Relationship,1,4
272,273,19,1,1,3.2,LINE,0,8.4,8,Single,1,3
273,274,21,0,2,5.4,Instagram,1,6.7,5,Single,3,7
274,275,20,1,1,4.7,KakaoTalk,1,7.1,6,In Relationship,3,6
275,276,22,0,2,4.2,VKontakte,0,7.8,7,Single,2,5
276,277,19,1,1,6.6,TikTok,1,5.5,4,In Relationship,4,9
277,278,21,0,2,5.1,Instagram,1,6.5,6,Single,3,7
278,279,20,1,1,4.4,Facebook,0,7.4,7,In Relationship,2,5
279,280,22,0,2,3.6,Instagram,0,7.9,8,Single,1,4
280,281,19,1,1,3.1,LINE,0,8.5,8,Single,1,3
281,282,21,0,2,5.3,TikTok,1,6.8,5,In Relationship,3,8
282,283,20,1,1,4.6,KakaoTalk,1,7.2,6,Single,3,6
283,284,22,0,2,4.1,VKontakte,0,7.9,7,In Relationship,2,5
284,285,19,1,1,6.7,Instagram,1,5.4,4,Single,4,9
285,286,21,0,2,5.0,Facebook,1,6.6,6,In Relationship,3,7
286,287,20,1,1,4.3,Instagram,0,7.5,7,Single,2,5
287,288,22,0,2,3.5,Facebook,0,8.0,8,In Relationship,1,4
288,289,19,1,1,3.0,LINE,0,8.6,8,Single,1,3
289,290,21,0,2,5.2,Instagram,1,6.9,5,Single,3,7
290,291,20,1,1,4.5,KakaoTalk,1,7.3,6,In Relationship,3,6
291,292,22,0,2,4.0,VKontakte,0,8.0,7,Single,2,5
292,293,19,1,1,6.8,TikTok,1,5.3,4,In Relationship,4,9
293,294,21,0,2,4.9,Instagram,1,6.7,6,Single,3,7
294,295,20,1,1,4.2,Facebook,0,7.6,7,In Relationship,2,5
295,296,22,0,2,3.4,Instagram,0,8.1,8,Single,1,4
296,297,19,1,1,2.9,LINE,0,8.7,8,Single,1,3
297,298,21,0,2,5.1,TikTok,1,7.0,5,In Relationship,3,8
298,299,20,1,1,4.4,KakaoTalk,1,7.4,6,Single,3,6
299,300,22,0,2,3.9,VKontakte,0,8.1,7,In Relationship,2,5
300,301,19,1,1,6.9,Instagram,1,5.2,4,Single,4,9
301,302,21,0,2,4.8,Facebook,1,6.8,6,In Relationship,3,7
302,303,20,1,1,4.1,Instagram,0,7.7,7,Single,2,5
303,304,22,0,2,3.3,Facebook,0,8.2,8,In Relationship,1,4
304,305,19,1,1,2.8,LINE,0,8.8,8,Single,1,3
305,306,21,0,2,5.0,Instagram,1,7.1,5,Single,3,7
306,307,20,1,1,4.3,KakaoTalk,1,7.5,6,In Relationship,3,6
307,308,22,0,2,3.8,VKontakte,0,8.2,7,Single,2,5
308,309,19,1,1,7.0,TikTok,1,5.1,4,In Relationship,4,9
309,310,21,0,2,4.7,Instagram,1,6.9,6,Single,3,7
310,311,20,1,1,4.0,Facebook,0,7.8,7,In Relationship,2,5
311,312,22,0,2,3.2,Instagram,0,8.3,8,Single,1,4
312,313,19,1,1,2.7,LINE,0,8.9,8,Single,1,3
313,314,21,0,2,4.9,TikTok,1,7.2,5,In Relationship,3,8
314,315,20,1,1,4.2,KakaoTalk,1,7.6,6,Single,3,6
315,316,22,0,2,3.7,VKontakte,0,8.3,7,In Relationship,2,5
316,317,19,1,1,7.1,Instagram,1,5.0,4,Single,4,9
317,318,21,0,2,4.6,Facebook,1,7.0,6,In Relationship,3,7
318,319,20,1,1,3.9,Instagram,0,7.9,7,Single,2,5
319,320,22,0,2,3.1,Facebook,0,8.4,8,In Relationship,1,4
320,321,19,1,1,5.2,Instagram,1,6.8,6,Single,3,7
321,322,21,0,2,4.1,Facebook,0,7.8,8,In Relationship,2,4
322,323,20,1,1,5.0,Instagram,1,7.0,7,Single,3,6
323,324,22,0,2,5.8,WhatsApp,1,6.5,5,In Relationship,4,8
324,325,19,1,1,4.0,Instagram,0,7.9,8,Single,2,4
325,326,21,0,2,5.5,Instagram,1,6.7,6,Single,3,7
326,327,20,1,1,6.8,TikTok,1,5.5,5,In Relationship,4,9
327,328,22,0,2,5.6,WhatsApp,1,6.6,6,Single,3,7
328,329,19,1,1,4.5,Instagram,0,7.5,7,In Relationship,2,5
329,330,21,0,2,5.3,Instagram,1,6.9,6,Single,3,7
330,331,20,1,1,5.1,TikTok,1,6.7,6,Single,3,7
331,332,22,0,2,3.9,Facebook,0,7.9,8,In Relationship,2,4
332,333,19,1,1,4.8,Instagram,1,7.1,7,Single,3,6
333,334,21,0,2,5.9,WhatsApp,1,6.4,5,In Relationship,4,8
334,335,20,1,1,3.8,Instagram,0,8.0,8,Single,2,4
335,336,22,0,2,5.4,TikTok,1,6.8,6,Single,3,7
336,337,19,1,1,6.9,Instagram,1,5.4,5,In Relationship,4,9
337,338,21,0,2,5.7,WhatsApp,1,6.5,6,Single,3,7
338,339,20,1,1,4.4,Instagram,0,7.6,7,In Relationship,2,5
339,340,22,0,2,5.2,TikTok,1,7.0,6,Single,3,7
340,341,19,1,1,5.0,Instagram,1,6.9,6,Single,3,7
341,342,21,0,2,3.8,Facebook,0,8.0,8,In Relationship,2,4
342,343,20,1,1,4.7,TikTok,1,7.2,7,Single,3,6
343,344,22,0,2,6.0,WhatsApp,1,6.3,5,In Relationship,4,8
344,345,19,1,1,3.7,Instagram,0,8.1,8,Single,2,4
345,346,21,0,2,5.3,Instagram,1,6.9,6,Single,3,7
346,347,20,1,1,7.0,TikTok,1,5.3,5,In Relationship,4,9
347,348,22,0,2,5.8,WhatsApp,1,6.4,6,Single,3,7
348,349,19,1,1,4.3,Instagram,0,7.7,7,In Relationship,2,5
349,350,21,0,2,5.1,Instagram,1,7.1,6,Single,3,7
